Serial Number,Category,State/UT,Year,Crime Count,Population (in lakhs),Crime Rate
6,State,Goa,2015,3074,19.7,156.0406091
7,State,Gujarat,2015,126935,623.3,203.6499278
8,State,Haryana,2015,84466,272.2,310.3085966
9,State,Himachal Pradesh,2015,14007,70.6,198.3994334
10,State,Jammu & Kashmir,2015,23583,123.4,191.1102107
11,State,Jharkhand,2015,45050,333.5,135.0824588
12,State,Karnataka,2015,138847,619.9,223.9829005
13,State,Kerala,2015,257074,355.5,723.1336146
34,Union Territory,Lakshadweep,2015,50,0.8,62.5
14,State,Madhya Pradesh,2015,268614,771.3,348.2613769
15,State,Maharashtra,2015,275414,1191.4,231.1683733
16,State,Manipur,2015,3847,25.7,149.688716
17,State,Meghalaya,2015,4079,27.5,148.3272727
18,State,Mizoram,2015,2228,10.6,210.1886792
19,State,Nagaland,2015,1302,23.6,55.16949153
20,State,Odisha,2015,83360,422.5,197.3017751
35,Union Territory,Puducherry,2015,3440,16.5,208.4848485
21,State,Punjab,2015,37983,289.4,131.2474084
22,State,Rajasthan,2015,198080,723.1,273.931683
23,State,Sikkim,2015,766,6.4,119.6875
24,State,Tamil Nadu,2015,187558,691.6,271.194332
25,State,Tripura,2015,4692,38,123.4736842
26,State,Uttar Pradesh,2015,241920,2158.4,112.0830245
27,State,Uttarakhand,2015,10248,105.4,97.22960152
28,State,West Bengal,2015,179501,930,193.011828
29,Union Territory,A & N Islands,2016,802,5.5,145.8181818
1,State,Andhra Pradesh,2016,215765,885.9,243.5545773
2,State,Arunachal Pradesh,2016,2534,13.2,191.969697
3,State,Assam,2016,102250,325.8,313.8428484
4,State,Bihar,2016,164163,1043,157.3950144
30,Union Territory,Chandigarh,2016,2996,18,166.4444444
5,State,Chhattisgarh,2016,55029,259.9,211.7314352
31,Union Territory,D & N Haveli,2016,244,4.3,56.74418605
32,Union Territory,Daman & Diu,2016,271,3.3,82.12121212
33,Union Territory,Delhi,2016,209519,214.9,974.9604467
6,State,Goa,2016,2692,19.9,135.2763819
7,State,Gujarat,2016,147122,630.8,233.230818
8,State,Haryana,2016,88527,276.1,320.6338283
9,State,Himachal Pradesh,2016,13386,71.2,188.005618
10,State,Jammu & Kashmir,2016,24501,124.6,196.6372392
11,State,Jharkhand,2016,40710,338,120.443787
12,State,Karnataka,2016,148402,625.7,237.1775611
13,State,Kerala,2016,260097,357.5,727.5440559
34,Union Territory,Lakshadweep,2016,36,0.8,45
14,State,Madhya Pradesh,2016,264418,782.6,337.8711986
15,State,Maharashtra,2016,261714,1205.5,217.0999585
16,State,Manipur,2016,3170,26,121.9230769
17,State,Meghalaya,2016,3366,27.8,121.0791367
18,State,Mizoram,2016,2425,10.7,226.635514
19,State,Nagaland,2016,1376,23.9,57.57322176
20,State,Odisha,2016,81460,425.9,191.2655553
35,Union Territory,Puducherry,2016,4086,16.8,243.2142857
21,State,Punjab,2016,40007,292,137.010274
22,State,Rajasthan,2016,180398,732.8,246.17631
23,State,Sikkim,2016,809,6.5,124.4615385
24,State,Tamil Nadu,2016,179896,695.2,258.7686997
25,State,Tripura,2016,3933,38.4,102.421875
26,State,Uttar Pradesh,2016,282171,2192.4,128.7041598
27,State,Uttarakhand,2016,10867,106.8,101.7509363
28,State,West Bengal,2016,176569,938.3,188.1796867
29,Union Territory,A & N Islands,2017,638,5.7,111.9298246
1,State,Andhra Pradesh,2017,252194,892.6,282.5386511
2,State,Arunachal Pradesh,2017,2565,13.3,192.8571429
3,State,Assam,2017,104324,329.3,316.8053447
4,State,Bihar,2017,180573,1054.5,171.2403983
30,Union Territory,Chandigarh,2017,3240,18.9,171.4285714
5,State,Chhattisgarh,2017,58481,262.9,222.4457969
31,Union Territory,D & N Haveli,2017,266,4.4,60.45454545
32,Union Territory,Daman & Diu,2017,367,3.5,104.8571429
33,Union Territory,Delhi,2017,232066,221,1050.072398
6,State,Goa,2017,2965,20.4,145.3431373
7,State,Gujarat,2017,128775,637.7,201.9366473
8,State,Haryana,2017,97924,280,349.7285714
9,State,Himachal Pradesh,2017,13007,71.7,181.4086471
10,State,Jammu & Kashmir,2017,22667,125.9,180.0397141
11,State,Jharkhand,2017,44595,342.1,130.3566209
12,State,Karnataka,2017,146354,630.9,231.9765414
13,State,Kerala,2017,235846,359.4,656.2214802
34,Union Territory,Lakshadweep,2017,78,0.8,97.5
14,State,Madhya Pradesh,2017,269512,793.3,339.735283
15,State,Maharashtra,2017,288879,1219.9,236.8054759
16,State,Manipur,2017,3416,26.3,129.8859316
17,State,Meghalaya,2017,3521,28.1,125.3024911
18,State,Mizoram,2017,2118,10.8,196.1111111
19,State,Nagaland,2017,1068,24.1,44.3153527
20,State,Odisha,2017,83583,429.2,194.7413793
35,Union Territory,Puducherry,2017,3883,17.6,220.625
21,State,Punjab,2017,39288,294.6,133.3604888
22,State,Rajasthan,2017,169941,742.5,228.8767677
23,State,Sikkim,2017,719,6.6,108.9393939
24,State,Tamil Nadu,2017,178836,698.4,256.0652921
25,State,Tripura,2017,3918,38.8,100.9793814
26,State,Uttar Pradesh,2017,310084,2226.1,139.2947307
27,State,Uttarakhand,2017,12889,108,119.3425926
28,State,West Bengal,2017,163999,946,173.3604651
29,Union Territory,A & N Islands,2018,706,4,176.5
1,State,Andhra Pradesh,2018,240586,890.6,270.139232
2,State,Arunachal Pradesh,2018,2613,14.9,175.3691275
3,State,Assam,2018,112232,340.4,329.706228
4,State,Bihar,2018,196911,1183.3,166.4083495
30,Union Territory,Chandigarh,2018,3072,11.7,262.5641026
5,State,Chhattisgarh,2018,60178,284.7,211.3733755
31,Union Territory,D & N Haveli,2018,255,5.3,48.11320755
32,Union Territory,Daman & Diu,2018,319,4,79.75
33,Union Territory,Delhi,2018,249012,195.6,1273.067485
6,State,Goa,2018,2740,15.3,179.0849673
7,State,Gujarat,2018,147574,673.2,219.2127154
8,State,Haryana,2018,108212,284,381.028169
9,State,Himachal Pradesh,2018,14604,72.7,200.8803301
10,State,Jammu & Kashmir,2018,24216,134.3,180.3127327
11,State,Jharkhand,2018,45287,370.5,122.2321188
12,State,Karnataka,2018,126534,654.5,193.329259
13,State,Kerala,2018,186958,350,534.1657143
34,Union Territory,Lakshadweep,2018,48,0.7,68.57142857
14,State,Madhya Pradesh,2018,248354,814.7,304.8410458
15,State,Maharashtra,2018,346291,1213.9,285.2714392
16,State,Manipur,2018,2869,30.8,93.14935065
17,State,Meghalaya,2018,2921,32,91.28125
18,State,Mizoram,2018,1774,11.8,150.3389831
19,State,Nagaland,2018,1223,21.3,57.41784038
20,State,Odisha,2018,83769,435.5,192.3513203
35,Union Territory,Puducherry,2018,3606,14.8,243.6486486
21,State,Punjab,2018,41640,297,140.2020202
22,State,Rajasthan,2018,171889,765.9,224.4274709
23,State,Sikkim,2018,620,6.6,93.93939394
24,State,Tamil Nadu,2018,185912,754.6,246.3715876
25,State,Tripura,2018,5325,39.6,134.469697
26,State,Uttar Pradesh,2018,342355,2230,153.5224215
27,State,Uttarakhand,2018,14739,110.6,133.2640145
28,State,West Bengal,2018,157610,965,163.3264249
29,Union Territory,A & N Islands,2019,564,4,141
1,State,Andhra Pradesh,2019,237567,896,265.1417411
2,State,Arunachal Pradesh,2019,2590,15.1,171.5231788
3,State,Assam,2019,123512,344.2,358.837885
4,State,Bihar,2019,197935,1201.1,164.7947715
30,Union Territory,Chandigarh,2019,2819,11.8,238.8983051
5,State,Chhattisgarh,2019,61256,288.5,212.3258232
31,Union Territory,D & N Haveli,2019,226,5.6,40.35714286
32,Union Territory,Daman & Diu,2019,322,4.2,76.66666667
33,Union Territory,Delhi,2019,299475,199.4,1501.880642
6,State,Goa,2019,2465,15.4,160.0649351
7,State,Gujarat,2019,139503,682.5,204.4
8,State,Haryana,2019,111323,288.1,386.4040264
9,State,Himachal Pradesh,2019,14480,73.2,197.8142077
10,State,Jammu & Kashmir,2019,22404,135.3,165.5875831
11,State,Jharkhand,2019,50048,375.8,133.1772219
12,State,Karnataka,2019,120165,659.7,182.1509777
13,State,Kerala,2019,175810,351.9,499.6021597
34,Union Territory,Lakshadweep,2019,123,0.7,175.7142857
14,State,Madhya Pradesh,2019,246470,826.1,298.3537102
15,State,Maharashtra,2019,341084,1225.3,278.3677467
16,State,Manipur,2019,2830,31.1,90.99678457
17,State,Meghalaya,2019,3125,32.3,96.74922601
18,State,Mizoram,2019,2379,12,198.25
19,State,Nagaland,2019,1117,21.6,51.71296296
20,State,Odisha,2019,96033,437.3,219.6043906
35,Union Territory,Puducherry,2019,3167,15.2,208.3552632
21,State,Punjab,2019,44697,299.4,149.2885772
22,State,Rajasthan,2019,225306,776,290.3427835
23,State,Sikkim,2019,632,6.7,94.32835821
24,State,Tamil Nadu,2019,168116,758.1,221.7596623
25,State,Tripura,2019,5336,40,133.4
26,State,Uttar Pradesh,2019,353131,2259.7,156.2733991
27,State,Uttarakhand,2019,12081,111.8,108.059034
28,State,West Bengal,2019,157610,971.1,162.300484
