Serial Number,Category,State/UT,Year,Crime Count,Population (in lakhs),Crime Rate
33,Union Territory,Delhi,2004,53623,152.79,350.9588324
6,State,Goa,2004,2127,14.65,145.1877133
7,State,Gujarat,2004,105469,534.64,197.2710609
8,State,Haryana,2004,39096,224.2,174.3800178
9,State,Himachal Pradesh,2004,12326,63.16,195.1551615
10,State,Jammu & Kashmir,2004,21191,110.41,191.9300788
11,State,Jharkhand,2004,31439,284.49,110.5100355
12,State,Karnataka,2004,114440,550.44,207.9064022
13,State,Kerala,2004,104025,329.82,315.3993087
33,Union Territory,Lakshadweep,2004,70,0.64,109.375
14,State,Madhya Pradesh,2004,196867,646.65,304.4413516
15,State,Maharashtra,2004,176302,1017.45,173.2782938
16,State,Manipur,2004,2535,25.09,101.0362694
17,State,Meghalaya,2004,1752,24.21,72.36679058
18,State,Mizoram,2004,1515,9.36,161.8589744
19,State,Nagaland,2004,984,20.96,46.94656489
20,State,Odisha,2004,48739,382.94,127.2758134
34,Union Territory,Puducherry,2004,4620,10.17,454.2772861
21,State,Punjab,2004,25630,254.43,100.7349762
22,State,Rajasthan,2004,154859,605.11,255.9187586
23,State,Sikkim,2004,631,5.68,111.0915493
24,State,Tamil Nadu,2004,166606,642.3,259.3896933
25,State,Tripura,2004,3081,33.42,92.19030521
26,State,Uttar Pradesh,2004,130181,1779.41,73.1596428
27,State,Uttarakhand,2004,8634,89.73,96.22199933
28,State,West Bengal,2004,69350,839.53,82.60574369
29,Union Territory,A & N Islands,2005,682,3.88,175.7731959
1,State,Andhra Pradesh,2005,157123,798.09,196.8737862
2,State,Arunachal Pradesh,2005,2304,11.59,198.7920621
3,State,Assam,2005,42006,286.92,146.4031786
4,State,Bihar,2005,97850,898.2,108.9401024
30,Union Territory,Chandigarh,2005,3133,9.98,313.9278557
5,State,Chhattisgarh,2005,43633,225.82,193.2202639
31,Union Territory,D & N Haveli,2005,434,2.44,177.8688525
32,Union Territory,Daman & Diu,2005,243,1.75,138.8571429
33,Union Territory,Delhi,2005,56065,157.43,356.1265324
6,State,Goa,2005,2119,15.07,140.6104844
7,State,Gujarat,2005,113414,542.74,208.9656189
8,State,Haryana,2005,42664,227.92,187.1884872
9,State,Himachal Pradesh,2005,12345,63.81,193.4649741
10,State,Jammu & Kashmir,2005,20115,113.71,176.8973705
11,State,Jharkhand,2005,35175,288.85,121.7760083
12,State,Karnataka,2005,117580,557.02,211.0875732
13,State,Kerala,2005,104350,333.38,313.0061791
33,Union Territory,Lakshadweep,2005,42,0.65,64.61538462
14,State,Madhya Pradesh,2005,189172,659.52,286.8328481
15,State,Maharashtra,2005,187027,1031.59,181.2997412
16,State,Manipur,2005,2913,25.39,114.7302087
17,State,Meghalaya,2005,1880,24.52,76.6721044
18,State,Mizoram,2005,2156,9.47,227.6663147
19,State,Nagaland,2005,1049,21.17,49.55125177
20,State,Odisha,2005,51685,387.53,133.3703197
34,Union Territory,Puducherry,2005,4575,10.32,443.3139535
21,State,Punjab,2005,27136,257.64,105.3252601
22,State,Rajasthan,2005,140917,616.68,228.5091133
23,State,Sikkim,2005,552,5.75,96
24,State,Tamil Nadu,2005,162360,648.56,250.339213
25,State,Tripura,2005,3356,33.9,98.99705015
26,State,Uttar Pradesh,2005,122108,1814.88,67.28158336
27,State,Uttarakhand,2005,8033,91.19,88.09079943
28,State,West Bengal,2005,66406,850.55,78.07418729
29,Union Territory,A & N Islands,2006,676,3.96,170.7070707
1,State,Andhra Pradesh,2006,173909,807.24,215.4365492
2,State,Arunachal Pradesh,2006,2294,11.74,195.4003407
3,State,Assam,2006,43673,291.62,149.7599616
4,State,Bihar,2006,100665,913.3,110.221176
30,Union Territory,Chandigarh,2006,3126,10.21,306.1704212
5,State,Chhattisgarh,2006,45177,229.9,196.507177
31,Union Territory,D & N Haveli,2006,435,2.5,174
32,Union Territory,Daman & Diu,2006,288,1.8,160
33,Union Territory,Delhi,2006,57963,162.29,357.1569413
6,State,Goa,2006,2204,15.51,142.1018698
7,State,Gujarat,2006,120972,550.8,219.6296296
8,State,Haryana,2006,50509,231.63,218.0589734
9,State,Himachal Pradesh,2006,13093,64.46,203.1182128
10,State,Jammu & Kashmir,2006,20787,117.25,177.2878465
11,State,Jharkhand,2006,36364,293.14,124.049942
12,State,Karnataka,2006,117710,563.49,208.8945678
13,State,Kerala,2006,105255,336.79,312.5241248
33,Union Territory,Lakshadweep,2006,80,0.67,119.4029851
14,State,Madhya Pradesh,2006,194711,672.13,289.6924702
15,State,Maharashtra,2006,191788,1045.7,183.4063307
16,State,Manipur,2006,2884,25.72,112.1306376
17,State,Meghalaya,2006,1935,24.83,77.92992348
18,State,Mizoram,2006,2073,9.59,216.1626694
19,State,Nagaland,2006,1103,21.41,51.51798225
20,State,Odisha,2006,52792,391.96,134.687213
34,Union Territory,Puducherry,2006,4687,10.47,447.6599809
21,State,Punjab,2006,32068,260.8,122.9601227
22,State,Rajasthan,2006,141992,628.02,226.0947104
23,State,Sikkim,2006,703,5.81,120.9982788
24,State,Tamil Nadu,2006,148972,654.52,227.6049624
25,State,Tripura,2006,3940,34.36,114.6682189
26,State,Uttar Pradesh,2006,127001,1850.21,68.64139746
27,State,Uttarakhand,2006,8412,92.62,90.82271648
28,State,West Bengal,2006,68052,861.3,79.01079763
29,Union Territory,A & N Islands,2007,807,4.05,199.2592593
1,State,Andhra Pradesh,2007,175087,816.02,214.5621431
2,State,Arunachal Pradesh,2007,2286,11.9,192.1008403
3,State,Assam,2007,45282,296.22,152.866113
4,State,Bihar,2007,109420,928.32,117.8688383
30,Union Territory,Chandigarh,2007,3643,10.46,348.2791587
5,State,Chhattisgarh,2007,45845,233.85,196.044473
31,Union Territory,D & N Haveli,2007,425,2.57,165.3696498
32,Union Territory,Daman & Diu,2007,260,1.84,141.3043478
33,Union Territory,Delhi,2007,56065,167.33,335.0564752
6,State,Goa,2007,2479,15.96,155.3258145
7,State,Gujarat,2007,123195,558.79,220.4674386
8,State,Haryana,2007,51597,235.3,219.281768
9,State,Himachal Pradesh,2007,14222,65.09,218.497465
10,State,Jammu & Kashmir,2007,21443,121.03,177.1709494
11,State,Jharkhand,2007,38489,297.34,129.4444071
12,State,Karnataka,2007,120606,569.82,211.6563125
13,State,Kerala,2007,108530,340.12,319.0932612
33,Union Territory,Lakshadweep,2007,56,0.68,82.35294118
14,State,Madhya Pradesh,2007,202386,684.55,295.6482361
15,State,Maharashtra,2007,195707,1059.69,184.6832564
16,State,Manipur,2007,3259,26.05,125.1055662
17,State,Meghalaya,2007,2079,25.15,82.6640159
18,State,Mizoram,2007,2083,9.72,214.3004115
19,State,Nagaland,2007,1180,21.69,54.40295067
20,State,Odisha,2007,54872,396.21,138.4922137
34,Union Territory,Puducherry,2007,5054,10.63,475.4468485
21,State,Punjab,2007,35793,263.89,135.6360605
22,State,Rajasthan,2007,148870,639.1,232.9369426
23,State,Sikkim,2007,667,5.89,113.2427844
24,State,Tamil Nadu,2007,172754,660.23,261.6573012
25,State,Tripura,2007,4273,34.81,122.7520827
26,State,Uttar Pradesh,2007,150258,1885.41,79.69513262
27,State,Uttarakhand,2007,9599,94.04,102.0735857
28,State,West Bengal,2007,81102,871.78,93.03035169
29,Union Territory,A & N Islands,2008,882,4.15,212.5301205
1,State,Andhra Pradesh,2008,179275,824.61,217.405804
2,State,Arunachal Pradesh,2008,2374,12.04,197.1760797
3,State,Assam,2008,53333,300.79,177.309751
4,State,Bihar,2008,122669,943.06,130.0754989
30,Union Territory,Chandigarh,2008,3931,10.71,367.0401494
5,State,Chhattisgarh,2008,51442,237.74,216.3792378
31,Union Territory,D & N Haveli,2008,401,2.65,151.3207547
32,Union Territory,Daman & Diu,2008,248,1.89,131.2169312
33,Union Territory,Delhi,2008,49350,172.5,286.0869565
6,State,Goa,2008,2742,16.44,166.7883212
7,State,Gujarat,2008,123808,566.65,218.4911321
8,State,Haryana,2008,55344,238.9,231.6617832
9,State,Himachal Pradesh,2008,13976,65.71,212.6921321
10,State,Jammu & Kashmir,2008,20604,125.02,164.8056311
11,State,Jharkhand,2008,38686,301.44,128.3373142
12,State,Karnataka,2008,127540,576.02,221.4159231
13,State,Kerala,2008,110620,343.4,322.1316249
33,Union Territory,Lakshadweep,2008,95,0.69,137.6811594
14,State,Madhya Pradesh,2008,206556,696.83,296.4223699
15,State,Maharashtra,2008,206243,1073.47,192.1273999
16,State,Manipur,2008,3349,26.37,127.0003792
17,State,Meghalaya,2008,2318,25.47,91.00903023
18,State,Mizoram,2008,1989,9.84,202.1341463
19,State,Nagaland,2008,1202,21.96,54.73588342
20,State,Odisha,2008,56755,400.33,141.7705393
34,Union Territory,Puducherry,2008,4989,10.8,461.9444444
21,State,Punjab,2008,35314,266.89,132.3166848
22,State,Rajasthan,2008,151174,649.94,232.5968551
23,State,Sikkim,2008,730,5.96,122.4832215
24,State,Tamil Nadu,2008,176833,665.76,265.6107306
25,State,Tripura,2008,5336,35.24,151.4188422
26,State,Uttar Pradesh,2008,168996,1920.49,87.99629261
27,State,Uttarakhand,2008,8856,95.43,92.80100597
28,State,West Bengal,2008,105419,882.07,119.5131906
29,Union Territory,A & N Islands,2009,941,4.23,222.4586288
1,State,Andhra Pradesh,2009,180441,832.99,216.6184468
2,State,Arunachal Pradesh,2009,2362,12.2,193.6065574
3,State,Assam,2009,55313,305.28,181.1877621
4,State,Bihar,2009,122931,957.5,128.3874674
30,Union Territory,Chandigarh,2009,3555,10.97,324.0656335
