STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,HURT/GREVIOUS HURT,TOTAL IPC CRIMES
UTTARAKHAND,2003,268,236,107,171,26,160,1368,687,7923
WEST BENGAL,2003,1425,400,1002,902,217,598,12613,4172,61174
A & N ISLANDS,2003,21,4,2,2,2,7,60,110,644
CHANDIGARH,2003,21,15,18,32,3,12,1238,71,2806
D & N HAVELI,2003,11,5,1,7,4,6,61,22,338
DAMAN & DIU,2003,6,3,5,1,4,1,46,14,269
LAKSHADWEEP,2003,0,0,2,0,0,0,8,1,31
PUDUCHERRY,2003,29,32,2,18,2,11,567,1053,4517
ANDHRA PRADESH,2004,2579,1908,1016,1526,199,596,23578,43335,158756
ARUNACHAL PRADESH,2004,67,45,42,65,30,45,388,429,2256
ASSAM,2004,1214,410,1171,1906,360,505,5866,5911,40675
BIHAR,2004,3948,2995,1390,3413,1319,2986,11113,11231,108060
CHHATTISGARH,2004,927,619,969,214,106,363,5014,3899,41927
GOA,2004,40,6,37,13,5,18,503,170,2127
GUJARAT,2004,1113,469,339,1133,360,1136,18551,12262,105469
HARYANA,2004,733,441,386,423,52,244,6558,4194,39096
HIMACHAL PRADESH,2004,110,77,153,123,1,25,643,1421,12326
JAMMU & KASHMIR,2004,816,1112,218,735,28,129,1939,334,21191
JHARKHAND,2004,1488,1143,797,468,580,780,4374,2294,31439
KARNATAKA,2004,1519,1387,291,592,177,1024,16093,21232,114440
KERALA,2004,417,391,480,232,129,639,5240,20610,104025
MADHYA PRADESH,2004,2379,2563,2875,832,147,1526,22586,33285,196867
MAHARASHTRA,2004,2696,1463,1388,1045,629,2229,43952,30122,176302
MANIPUR,2004,159,227,31,128,2,3,244,233,2535
MEGHALAYA,2004,124,42,54,54,91,81,418,123,1752
MIZORAM,2004,35,21,20,15,10,6,610,80,1515
NAGALAND,2004,70,33,18,23,14,117,255,52,984
ODISHA,2004,1066,1197,770,526,238,952,5967,4938,48739
PUNJAB,2004,775,716,390,463,17,86,2587,4402,25630
RAJASTHAN,2004,1279,2030,1038,2384,58,673,18842,25947,154859
SIKKIM,2004,16,8,3,5,0,5,73,78,631
TAMIL NADU,2004,1479,1772,618,870,72,464,17530,30855,166606
TRIPURA,2004,189,36,160,99,27,46,260,452,3081
UTTAR PRADESH,2004,6126,5580,1397,3337,378,2606,22524,11265,130181
UTTARAKHAND,2004,262,247,115,213,37,165,1597,865,8634
WEST BENGAL,2004,1425,390,1475,1200,212,535,14465,3867,69350
A & N ISLANDS,2004,15,1,10,3,0,3,103,105,748
CHANDIGARH,2004,22,19,19,54,0,6,1459,65,2889
D & N HAVELI,2004,11,4,7,12,3,2,53,35,409
DAMAN & DIU,2004,3,1,1,2,0,1,27,17,198
LAKSHADWEEP,2004,0,0,0,0,0,0,5,6,70
PUDUCHERRY,2004,25,18,4,10,0,1,634,974,4620
ANDHRA PRADESH,2005,2750,1724,935,1612,250,794,23778,42179,157123
ARUNACHAL PRADESH,2005,81,37,35,58,23,77,531,383,2304
ASSAM,2005,1194,503,1238,1751,334,451,6369,5906,42006
BIHAR,2005,3471,3307,1147,2693,1212,2374,10812,11939,97850
CHHATTISGARH,2005,1013,660,990,246,204,401,5600,3734,43633
GOA,2005,45,15,20,17,2,28,495,155,2119
GUJARAT,2005,1033,452,324,1164,282,966,17964,10503,113414
HARYANA,2005,784,513,461,492,88,390,8694,4569,42664
HIMACHAL PRADESH,2005,110,79,141,118,6,22,696,1359,12345
JAMMU & KASHMIR,2005,647,905,201,748,13,116,1901,355,20115
JHARKHAND,2005,1523,1084,753,621,592,732,6195,3078,35175
KARNATAKA,2005,1609,1406,343,589,208,1202,17008,20883,117580
KERALA,2005,388,341,478,226,110,621,5454,18302,104350
MADHYA PRADESH,2005,2405,2512,2921,847,147,1557,20685,33803,189172
MAHARASHTRA,2005,2621,1614,1545,1194,641,2411,46851,30017,187027
MANIPUR,2005,256,252,25,106,4,8,243,295,2913
MEGHALAYA,2005,134,35,63,48,81,95,476,135,1880
MIZORAM,2005,24,24,37,13,3,6,777,77,2156
NAGALAND,2005,87,26,17,26,12,80,294,35,1049
ODISHA,2005,1079,1279,799,641,184,998,6743,5919,51685
PUNJAB,2005,713,723,398,478,27,85,2924,4267,27136
RAJASTHAN,2005,1221,1920,993,1993,41,590,17898,22606,140917
SIKKIM,2005,8,16,18,3,2,4,81,99,552
TAMIL NADU,2005,1440,1759,571,1029,73,437,15851,31725,162360
TRIPURA,2005,121,56,162,85,22,61,325,429,3356
UTTAR PRADESH,2005,5711,5637,1217,2955,286,2049,20695,10379,122108
UTTARAKHAND,2005,279,202,133,203,48,159,1630,745,8033
WEST BENGAL,2005,1453,434,1686,1207,211,426,12124,4125,66406
A & N ISLANDS,2005,14,3,4,2,0,4,92,79,682
CHANDIGARH,2005,18,15,33,54,0,12,1373,57,3133
D & N HAVELI,2005,7,5,5,13,3,2,74,33,434
DAMAN & DIU,2005,5,2,2,4,4,0,50,16,243
LAKSHADWEEP,2005,1,0,0,0,0,0,7,4,42
PUDUCHERRY,2005,19,24,6,6,1,5,466,857,4575
ANDHRA PRADESH,2006,2766,1860,1049,2030,178,679,23510,47946,173909
ARUNACHAL PRADESH,2006,60,33,37,75,28,74,451,415,2294
ASSAM,2006,1207,414,1244,1825,319,544,7820,5290,43673
BIHAR,2006,3249,3303,1232,2619,1001,2169,11752,12674,100665
CHHATTISGARH,2006,1098,825,995,239,160,439,5262,6722,45177
GOA,2006,39,17,21,16,7,17,494,170,2204
GUJARAT,2006,1165,471,354,1128,290,970,18475,10685,120972
