State/UT,Murders,Kidnapping,Crimes_against_children,Crimes_against_senior_citizen,Crimes_against_women,Corruption,Total_Crimes,Cyber_Crime,Year
Uttarakhand,194,790,676,1,1588,28,16074,62,2016
West Bengal,2044,6045,7004,184,32513,16,204400,478,2016
TOTAL STATE ( S ),29840,81137,98344,20657,322949,4400,4602370,12187,2016
A & N Islands,14,26,86,4,108,3,2491,3,2016
Chandigarh,26,180,222,48,414,15,4256,26,2016
D & N Haveli and Daman & Diu,9,31,52,0,69,0,543,1,2016
Delhi,528,6619,8178,685,15310,16,216920,98,2016
Jammu & Kashmir,142,810,222,0,2850,55,26624,28,2016
Ladakh,0,0,0,0,0,0,0,0,2016
Lakshadweep,0,0,5,0,9,0,50,0,2016
Puducherry,33,15,71,16,95,5,4885,2,2016
TOTAL UT ( S ),610,6871,8614,753,16005,39,229145,130,2016
TOTAL ALL INDIA,30450,88008,106958,21410,338954,4439,4831515,12317,2016
Andhra Pradesh,1054,1018,2397,1823,17909,199,148002,931,2017
Arunachal Pradesh,79,117,138,1,337,11,2746,1,2017
Assam,1144,7857,4951,0,23082,27,109952,1120,2017
Bihar,2803,8479,5386,141,14711,128,236055,433,2017
Chhattisgarh,919,2109,6518,1068,7996,27,90516,171,2017
Goa,31,86,196,60,369,4,3943,13,2017
Gujarat,970,2094,3955,1099,8133,148,334799,458,2017
Haryana,1046,4401,4169,466,11370,82,224816,504,2017
Himachal Pradesh,99,339,528,129,1246,29,17796,56,2017
Jharkhand,1487,1577,1247,0,5911,170,52664,720,2017
Karnataka,1384,3005,5890,895,14078,289,184063,3174,2017
Kerala,305,293,3562,511,11057,142,653500,320,2017
Madhya Pradesh,1908,7807,19038,4716,29788,294,379682,490,2017
Maharashtra,2103,10324,16918,5321,31979,925,467753,3604,2017
Manipur,63,142,109,3,236,1,4250,74,2017
Meghalaya,87,148,379,2,567,1,3952,39,2017
Mizoram,21,4,220,13,301,5,2738,10,2017
Nagaland,36,66,93,15,79,12,1553,0,2017
Odisha,1267,3349,3185,232,20098,494,103866,824,2017
Punjab,659,1386,2133,163,4620,167,70673,176,2017
Rajasthan,1473,5216,5180,462,25993,404,245553,1304,2017
Sikkim,13,71,190,1,163,0,979,1,2017
Tamil Nadu,1560,1027,3529,2769,5397,257,420876,228,2017
Telangana,805,1560,3580,1308,17521,55,133197,1209,2017
Tripura,124,122,276,10,972,1,4238,7,2017
Uttar Pradesh,4324,19921,19145,408,56011,58,600082,4971,2017
Uttarakhand,181,800,829,2,1944,13,28861,124,2017
West Bengal,2001,5205,6551,247,30992,15,195537,568,2017
TOTAL STATE ( S ),28098,89518,120651,21866,345989,4042,4748250,21593,2017
A & N Islands,9,34,119,10,132,7,3014,3,2017
Chandigarh,25,203,275,53,453,2,5462,32,2017
D & N Haveli and Daman & Diu,9,28,55,0,46,0,691,1,2017
Delhi,487,6095,7852,753,13076,9,244714,162,2017
Jammu & Kashmir,152,995,359,1,3123,84,25608,63,2017
Ladakh,0,0,0,0,0,0,0,0,2017
Lakshadweep,0,0,4,0,6,0,114,0,2017
Puducherry,25,15,76,45,147,2,4799,5,2017
TOTAL UT ( S ),555,6375,8381,861,13860,20,258794,203,2017
TOTAL ALL INDIA,28653,95893,129032,22727,359849,4062,5007044,21796,2017
Andhra Pradesh,935,1055,2672,1673,16438,151,144703,1207,2018
Arunachal Pradesh,62,135,166,3,368,18,2817,7,2018
Assam,1241,8966,5447,2,27687,25,120573,2022,2018
Bihar,2934,9935,7340,424,16920,69,262815,374,2018
Chhattisgarh,917,2443,6924,1073,8587,17,98233,139,2018
Goa,29,105,182,36,362,11,3884,29,2018
Gujarat,1072,1996,4929,2126,8329,333,393194,702,2018
Haryana,1104,5015,4869,571,14326,107,191229,418,2018
Himachal Pradesh,99,475,772,195,1633,28,19594,69,2018
Jharkhand,1712,1741,1479,12,7083,90,55664,930,2018
Karnataka,1334,3027,6131,1038,13514,378,163416,5839,2018
Kerala,292,297,4253,549,10461,92,512167,340,2018
Madhya Pradesh,1879,8596,18992,3967,28942,256,405129,740,2018
Maharashtra,2199,11443,18892,5961,35497,936,515674,3511,2018
Manipur,52,142,128,2,271,4,3781,29,2018
Meghalaya,95,148,385,0,571,1,3482,74,2018
Mizoram,27,3,198,15,249,7,2351,6,2018
Nagaland,31,90,70,14,75,16,1775,2,2018
Odisha,1378,3972,5217,319,20274,429,107408,843,2018
Punjab,684,1599,2308,217,5302,176,70318,239,2018
Rajasthan,1508,5809,5150,360,27866,372,250546,1104,2018
Sikkim,12,74,221,3,172,0,869,1,2018
Tamil Nadu,1569,1097,4155,3162,5822,264,499188,295,2018
Telangana,786,1810,3747,1062,16027,139,126858,1205,2018
Tripura,137,166,271,9,907,6,6078,20,2018
Uttar Pradesh,4018,21711,19936,454,59445,84,585157,6280,2018
Uttarakhand,211,1177,1306,6,2817,17,34715,171,2018
West Bengal,1933,5191,6286,245,30394,9,188063,335,2018
TOTAL STATE ( S ),28431,99355,132899,23501,363776,4117,4796957,27004,2018
A & N Islands,11,37,162,3,147,1,3699,7,2018
Chandigarh,20,209,288,64,442,3,5967,30,2018
D & N Haveli and Daman & Diu,12,36,72,1,54,2,649,0,2018
Delhi,513,6063,8246,780,13640,6,262612,189,2018
Jammu & Kashmir,181,1137,473,3,3437,82,27276,73,2018
Ladakh,0,0,0,0,0,0,0,0,2018
Lakshadweep,1,0,8,0,11,0,77,4,2018
Puducherry,29,34,89,0,166,0,4674,14,2018
TOTAL UT ( S ),586,6379,8865,848,14460,12,277678,244,2018
TOTAL ALL INDIA,29017,105734,141764,24349,378236,4129,5074635,27248,2018
Andhra Pradesh,870,902,2524,2430,17746,123,145751,1886,2019
Arunachal Pradesh,60,117,153,3,317,13,2877,8,2019
Assam,1235,9432,6608,2,30025,18,132783,2231,2019
Bihar,3138,10707,9320,251,18587,71,269109,1050,2019
Chhattisgarh,913,2638,5665,1349,7689,19,96561,175,2019
Goa,33,71,167,40,329,9,3727,15,2019
Gujarat,993,1813,4685,4088,8799,255,431066,784,2019
Haryana,1137,4023,5119,384,14683,89,166336,564,2019
Himachal Pradesh,70,455,748,166,1636,62,19924,76,2019
Jharkhand,1626,1814,1674,9,8760,77,62206,1095,2019
Karnataka,1314,3080,6305,1172,13828,379,163691,12020,2019
Kerala,323,386,4754,683,11462,80,453083,307,2019
Madhya Pradesh,1795,9812,19028,4184,27560,318,395619,602,2019
Maharashtra,2142,11755,19592,6163,37144,891,509433,4967,2019
Manipur,56,129,148,10,266,6,3661,4,2019
Meghalaya,68,130,379,1,558,5,3897,89,2019
Mizoram,22,5,125,9,170,2,2880,8,2019
Nagaland,25,64,59,16,43,1,1661,2,2019
Odisha,1356,4748,7012,157,23183,353,121525,1485,2019
Punjab,679,1798,2625,228,5886,169,72855,243,2019
Rajasthan,1659,8058,7385,437,41550,424,304394,1762,2019
Sikkim,17,51,163,2,125,0,821,2,2019
Tamil Nadu,1745,898,4139,2509,5934,418,455094,385,2019
Telangana,839,2127,4212,1523,18394,177,131254,2691,2019
Tripura,144,166,311,19,1070,6,5988,20,2019
Uttar Pradesh,3806,16590,18943,475,59853,134,628578,11416,2019
Uttarakhand,199,967,1214,6,2541,13,28268,100,2019
West Bengal,1930,5190,6191,353,29859,21,188049,524,2019
TOTAL STATE ( S ),28194,97926,139248,26669,387997,4133,4801091,44511,2019
A & N Islands,13,27,153,6,135,3,4034,2,2019
Chandigarh,26,177,264,50,515,5,4518,23,2019
D & N Haveli and Daman & Diu,13,35,96,2,82,1,660,3,2019
Delhi,521,5901,7783,1076,13395,18,316261,115,2019
Jammu & Kashmir,119,961,470,1,3069,73,25408,73,2019
Ladakh,0,0,0,0,0,0,0,0,2019
Lakshadweep,0,0,26,0,38,0,182,4,2019
Puducherry,29,9,50,0,95,1,4004,4,2019
TOTAL UT ( S ),721,7110,8842,1135,17329,101,355067,224,2019
TOTAL ALL INDIA,28915,105036,148090,27804,405326,4234,5156158,44735,2019
Andhra Pradesh,853,737,2648,1860,17089,91,238105,1899,2020
Arunachal Pradesh,45,78,113,0,281,21,2503,30,2020
Assam,1131,6934,4622,6,26352,16,121609,3530,2020
Bihar,3150,7889,6591,322,15359,41,257512,1512,2020
Chhattisgarh,972,2008,5056,1533,7385,28,103173,297,2020
Goa,34,45,125,31,219,5,4366,40,2020
Gujarat,982,1198,4075,2785,8028,199,699619,1283,2020
Haryana,1143,2949,4338,650,13000,57,192395,656,2020
Himachal Pradesh,91,343,636,394,1614,48,20630,98,2020
Jharkhand,1592,1564,1795,2,7630,63,63570,1204,2020
Karnataka,1331,2253,5471,853,12680,296,150080,10741,2020
Kerala,306,307,3941,699,10139,104,554724,426,2020
Madhya Pradesh,2101,7320,17008,4602,25640,151,428046,699,2020
