,STATE/UT,DISTRICT,STATE/UT_enc,DISTRICT_enc
2200,ARUNACHAL PRADESH,SIANG EAST,2,676
2201,ARUNACHAL PRADESH,SIANG UPPER,2,677
2202,ARUNACHAL PRADESH,SIANG WEST,2,678
2203,ARUNACHAL PRADESH,SUBANSIRI LOWER,2,717
2204,ARUNACHAL PRADESH,SUBANSIRI UPPER,2,718
2205,ARUNACHAL PRADESH,TAWANG,2,730
2206,ARUNACHAL PRADESH,TIRAP,2,748
2207,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2,771
2209,ASSAM,BARPETA,3,73
2210,ASSAM,BONGAIGAON,3,114
2211,ASSAM,C.I.D.,3,125
2212,ASSAM,CACHAR,3,126
2213,ASSAM,DARRANG,3,184
2214,ASSAM,DHEMAJI,3,203
2215,ASSAM,DHUBRI,3,206
2216,ASSAM,DIBRUGARH,3,209
2217,ASSAM,G.R.P.,3,239
2218,ASSAM,GOALPARA,3,262
2219,ASSAM,GOLAGHAT,3,264
2220,ASSAM,GUWAHATI CITY,3,281
2221,ASSAM,HAILAKANDI,3,283
2222,ASSAM,JORHAT,3,360
2223,ASSAM,KAMRUP,3,369
2224,ASSAM,KARBI ANGLONG,3,383
2225,ASSAM,KARIMGANJ,3,385
2226,ASSAM,KOKRAJHAR,3,418
2227,ASSAM,LAKHIMPUR,3,450
2228,ASSAM,MORIGAON,3,500
2229,ASSAM,N.C.HILLS,3,514
2230,ASSAM,NAGAON,3,516
2231,ASSAM,NALBARI,3,524
2232,ASSAM,R.P.O.,3,598
2233,ASSAM,SIBSAGAR,3,679
2234,ASSAM,SONITPUR,3,703
2235,ASSAM,TINSUKIA,3,747
2237,BIHAR,ARARIA,4,34
2238,BIHAR,ARWAL,4,36
2239,BIHAR,AURANGABAD,4,40
2240,BIHAR,BAGAHA,4,47
2241,BIHAR,BANKA,4,63
2242,BIHAR,BEGUSARAI,4,80
2243,BIHAR,BETTIAH,4,85
2244,BIHAR,BHABHUA,4,87
2245,BIHAR,BHAGALPUR,4,89
2246,BIHAR,BHOJPUR,4,99
2247,BIHAR,BUXAR,4,124
2248,BIHAR,DARBHANGA,4,182
2249,BIHAR,GAYA,4,258
2250,BIHAR,GOPALGANJ,4,268
2251,BIHAR,JAMALPUR RLY.,4,336
2252,BIHAR,JAMUI,4,342
2253,BIHAR,JEHANABAD,4,346
2254,BIHAR,KATIHAR,4,391
2255,BIHAR,KATIHAR RLY.,4,392
2256,BIHAR,KHAGARIA,4,398
2257,BIHAR,KISHANGANJ,4,413
2258,BIHAR,LAKHISARAI,4,451
2259,BIHAR,MADHEPURA,4,465
2260,BIHAR,MADHUBANI,4,466
2261,BIHAR,MOTIHARI,4,501
2262,BIHAR,MUNGER,4,507
2263,BIHAR,MUZAFFARPUR,4,510
2264,BIHAR,MUZAFFARPUR RLY.,4,511
2265,BIHAR,NALANDA,4,523
2266,BIHAR,NAUGACHIA,4,534
2267,BIHAR,NAWADAH,4,537
2268,BIHAR,PATNA,4,574
2269,BIHAR,PATNA RLY.,4,575
2270,BIHAR,PURNEA,4,596
2271,BIHAR,ROHTAS,4,633
2272,BIHAR,SAHARSA,4,641
2273,BIHAR,SAMASTIPUR,4,646
2274,BIHAR,SARAN,4,653
2275,BIHAR,SHEIKHPURA,4,668
2276,BIHAR,SHEOHAR,4,669
2277,BIHAR,SITAMARHI,4,693
2278,BIHAR,SIWAN,4,696
2279,BIHAR,SUPAUL,4,722
2280,BIHAR,VAISHALI,4,777
2282,CHHATTISGARH,BALRAMPUR,6,58
2283,CHHATTISGARH,BILASPUR,6,107
2284,CHHATTISGARH,BIZAPUR,6,110
2285,CHHATTISGARH,DANTEWARA,6,181
2286,CHHATTISGARH,DHAMTARI,6,196
2287,CHHATTISGARH,DURG,6,217
2288,CHHATTISGARH,GRP RAIPUR,6,271
2289,CHHATTISGARH,JAGDALPUR,6,318
2290,CHHATTISGARH,JANJGIR,6,343
2291,CHHATTISGARH,JASHPUR,6,344
2292,CHHATTISGARH,KABIRDHAM,6,364
2293,CHHATTISGARH,KANKER,6,373
2294,CHHATTISGARH,KORBA,6,429
2295,CHHATTISGARH,KORIYA,6,430
2296,CHHATTISGARH,MAHASAMUND,6,471
2297,CHHATTISGARH,NARAYANPUR,6,529
2298,CHHATTISGARH,RAIGARH,6,602
2299,CHHATTISGARH,RAIPUR,6,608
2300,CHHATTISGARH,RAJNANDGAON,6,614
2301,CHHATTISGARH,SARGUJA,6,654
2303,GOA,NORTH GOA,10,548
2304,GOA,SOUTH GOA,10,706
2306,GUJARAT,AHMEDABAD COMMR.,11,5
2307,GUJARAT,AHMEDABAD RURAL,11,6
2308,GUJARAT,AHWA-DANG,11,8
2309,GUJARAT,AMRELI,11,24
2310,GUJARAT,ANAND,11,27
2311,GUJARAT,BHARUCH,11,92
2312,GUJARAT,BHAVNAGAR,11,94
2313,GUJARAT,DAHOD,11,176
2314,GUJARAT,GANDHINAGAR,11,249
2315,GUJARAT,HIMATNAGAR,11,295
2316,GUJARAT,JAMNAGAR,11,338
2317,GUJARAT,JUNAGADH,11,361
2318,GUJARAT,KHEDA NORTH,11,406
2319,GUJARAT,KUTCH,11,446
2320,GUJARAT,MEHSANA,11,491
2321,GUJARAT,NARMADA,11,530
2322,GUJARAT,NAVSARI,11,536
2323,GUJARAT,PALANPUR,11,559
2324,GUJARAT,PANCHMAHAL,11,563
2325,GUJARAT,PATAN,11,570
2326,GUJARAT,PORBANDAR,11,584
2327,GUJARAT,RAJKOT COMMR.,11,612
2328,GUJARAT,RAJKOT RURAL,11,613
2329,GUJARAT,SURAT COMMR.,11,724
2330,GUJARAT,SURAT RURAL,11,725
2331,GUJARAT,SURENDRANAGAR,11,726
2332,GUJARAT,VADODARA COMMR.,11,775
2333,GUJARAT,VADODARA RURAL,11,776
2334,GUJARAT,VALSAD,11,778
2335,GUJARAT,W.RLY,11,791
2337,HARYANA,AMBALA,12,18
2338,HARYANA,BHIWANI,12,98
2339,HARYANA,FARIDABAD,12,228
2340,HARYANA,FATEHABAD,12,230
2341,HARYANA,GRP,12,270
2342,HARYANA,GURGAON,12,280
2343,HARYANA,HISSAR,12,297
2344,HARYANA,JHAJJAR,12,348
2345,HARYANA,JIND,12,354
2346,HARYANA,KAITHAL,12,365
2347,HARYANA,KARNAL,12,387
2348,HARYANA,KURUKSHETRA,12,444
2349,HARYANA,MAHENDRAGARH,12,472
2350,HARYANA,PANCHKULA,12,562
2351,HARYANA,PANIPAT,12,565
2352,HARYANA,REWARI,12,630
2353,HARYANA,ROHTAK,12,632
2354,HARYANA,SIRSA,12,692
2355,HARYANA,SONIPAT,12,702
2356,HARYANA,YAMUNANAGAR,12,803
2358,HIMACHAL PRADESH,BILASPUR,13,107
2359,HIMACHAL PRADESH,CHAMBA,13,134
2360,HIMACHAL PRADESH,G.R.P.,13,239
2361,HIMACHAL PRADESH,HAMIRPUR,13,284
2362,HIMACHAL PRADESH,KANGRA,13,372
2363,HIMACHAL PRADESH,KINNAUR,13,411
2364,HIMACHAL PRADESH,KULLU,13,441
2365,HIMACHAL PRADESH,LAHAUL-SPITI,13,449
2366,HIMACHAL PRADESH,MANDI,13,480
2367,HIMACHAL PRADESH,SHIMLA,13,671
2368,HIMACHAL PRADESH,SIRMAUR,13,690
2369,HIMACHAL PRADESH,SOLAN,13,697
2370,HIMACHAL PRADESH,UNA,13,768
2372,JAMMU & KASHMIR,ANANTNAG,14,29
2373,JAMMU & KASHMIR,AWANTIPORA,14,43
2374,JAMMU & KASHMIR,BARAMULLA,14,68
2375,JAMMU & KASHMIR,BORDER,14,115
2376,JAMMU & KASHMIR,BUDGAM,14,118
2377,JAMMU & KASHMIR,CRIME JAMMU,14,167
2378,JAMMU & KASHMIR,CRIME SRINAGAR,14,169
2379,JAMMU & KASHMIR,DODA,14,214
2380,JAMMU & KASHMIR,GANDERBAL,14,248
2381,JAMMU & KASHMIR,HANDWARA,14,286
2382,JAMMU & KASHMIR,JAMMU,14,337
2383,JAMMU & KASHMIR,KARGIL,14,384
2384,JAMMU & KASHMIR,KATHUA,14,390
2385,JAMMU & KASHMIR,KULGAM,14,440
2386,JAMMU & KASHMIR,KUPWARA,14,442
2387,JAMMU & KASHMIR,LEH,14,457
2388,JAMMU & KASHMIR,POONCH,14,583
2389,JAMMU & KASHMIR,PULWAMA,14,590
2390,JAMMU & KASHMIR,RAILWAYS,14,603
2391,JAMMU & KASHMIR,RAJOURI,14,615
2392,JAMMU & KASHMIR,RAMBAN,14,619
2393,JAMMU & KASHMIR,REASI,14,628
2394,JAMMU & KASHMIR,SRINAGAR,14,712
2395,JAMMU & KASHMIR,UDHAMPUR,14,762
2397,JHARKHAND,BOKARO,15,112
2398,JHARKHAND,CHAIBASA,15,132
2399,JHARKHAND,CHATRA,15,143
2400,JHARKHAND,DEOGHAR,15,192
2401,JHARKHAND,DHANBAD,15,197
2402,JHARKHAND,DHANBAD RLY.,15,198
2403,JHARKHAND,DUMKA,15,215
2404,JHARKHAND,GARHWA,15,252
2405,JHARKHAND,GIRIDIH,15,261
2406,JHARKHAND,GODDA,15,263
2407,JHARKHAND,GUMLA,15,274
2408,JHARKHAND,HAZARIBAGH,15,294
2409,JHARKHAND,JAMSHEDPUR,15,339
2410,JHARKHAND,JAMSHEDPUR RLY.,15,340
2411,JHARKHAND,JAMTARA,15,341
2412,JHARKHAND,KODERMA,15,416
2413,JHARKHAND,LATEHAR,15,454
2414,JHARKHAND,LOHARDAGGA,15,458
2415,JHARKHAND,PAKUR,15,556
2416,JHARKHAND,PALAMU,15,558
2417,JHARKHAND,RANCHI,15,623
2418,JHARKHAND,SAHEBGANJ,15,642
2419,JHARKHAND,SARAIKELA,15,652
2420,JHARKHAND,SIMDEGA,15,686
2422,KARNATAKA,BAGALKOT,16,48
2423,KARNATAKA,BANGALORE COMMR.,16,61
2424,KARNATAKA,BANGALORE RURAL,16,62
2425,KARNATAKA,BELGAUM,16,81
2426,KARNATAKA,BELLARY,16,82
2427,KARNATAKA,BIDAR,16,102
2428,KARNATAKA,BIJAPUR,16,104
2429,KARNATAKA,CHAMARAJNAGAR,16,133
2430,KARNATAKA,CHICKMAGALUR,16,150
2431,KARNATAKA,CHITRADURGA,16,152
2432,KARNATAKA,DAKSHIN KANNADA,16,178
2433,KARNATAKA,DAVANAGERE,16,187
2434,KARNATAKA,DHARWAD COMMR.,16,201
2435,KARNATAKA,DHARWAD RURAL,16,202
2436,KARNATAKA,GADAG,16,245
2437,KARNATAKA,GULBARGA,16,273
2438,KARNATAKA,HASSAN,16,291
2439,KARNATAKA,HAVERI,16,293
2440,KARNATAKA,K.G.F.,16,362
2441,KARNATAKA,KODAGU,16,415
2442,KARNATAKA,KOLAR,16,419
2443,KARNATAKA,KOPPAL,16,427
2444,KARNATAKA,MANDYA,16,483
2445,KARNATAKA,MYSORE COMMR.,16,512
2446,KARNATAKA,MYSORE RURAL,16,513
2447,KARNATAKA,RAICHUR,16,600
2448,KARNATAKA,RAILWAYS,16,603
2449,KARNATAKA,SHIMOGA,16,672
2450,KARNATAKA,TUMKUR,16,759
2451,KARNATAKA,UDUPI,16,764
2452,KARNATAKA,UTTAR KANNADA,16,773
2454,KERALA,ALAPUZHA,17,12
2455,KERALA,CBCID,17,129
2456,KERALA,ERNAKULAM COMMR.,17,222
2457,KERALA,ERNAKULAM RURAL,17,223
2458,KERALA,IDUKKI,17,306
2459,KERALA,KANNUR,17,375
2460,KERALA,KASARGOD,17,389
2461,KERALA,KOLLAM,17,423
2462,KERALA,KOTTAYAM,17,434
2463,KERALA,KOZHIKODE COMMR.,17,436
2464,KERALA,KOZHIKODE RURAL,17,437
2465,KERALA,MALAPPURAM,17,476
2466,KERALA,PALAKKAD,17,557
2467,KERALA,PATHANAMTHITTA,17,571
2468,KERALA,RAILWAYS,17,603
2469,KERALA,THRISSUR,17,743
2470,KERALA,TRIVANDRUM COMMR.,17,756
2471,KERALA,TRIVANDRUM RURAL,17,757
2472,KERALA,WAYANADU,17,798
2474,MADHYA PRADESH,ANUPPUR,19,33
2475,MADHYA PRADESH,ASHOK NAGAR,19,38
2476,MADHYA PRADESH,BALAGHAT,19,53
2477,MADHYA PRADESH,BARWANI,19,74
2478,MADHYA PRADESH,BETUL,19,86
2479,MADHYA PRADESH,BHIND,19,97
2480,MADHYA PRADESH,BHOPAL,19,100
2481,MADHYA PRADESH,BHOPAL RLY.,19,101
2482,MADHYA PRADESH,BURHANPUR,19,123
2483,MADHYA PRADESH,CHHATARPUR,19,148
2484,MADHYA PRADESH,CHHINDWARA,19,149
2485,MADHYA PRADESH,DAMOH,19,180
2486,MADHYA PRADESH,DATIYA,19,185
2487,MADHYA PRADESH,DEWAS,19,194
2488,MADHYA PRADESH,DHAR,19,199
2489,MADHYA PRADESH,DINDORI,19,212
2490,MADHYA PRADESH,GUNA,19,275
2491,MADHYA PRADESH,GWALIOR,19,282
2492,MADHYA PRADESH,HARDA,19,288
2493,MADHYA PRADESH,HOSHANGABAD,19,299
2494,MADHYA PRADESH,INDORE,19,312
2495,MADHYA PRADESH,INDORE RLY.,19,313
2496,MADHYA PRADESH,JABALPUR,19,315
2497,MADHYA PRADESH,JABALPUR RLY.,19,316
2498,MADHYA PRADESH,JHABUA,19,347
2499,MADHYA PRADESH,KATNI,19,393
2500,MADHYA PRADESH,KHANDWA,19,400
2501,MADHYA PRADESH,KHARGON,19,403
2502,MADHYA PRADESH,MANDLA,19,481
2503,MADHYA PRADESH,MANDSAUR,19,482
2504,MADHYA PRADESH,MORENA,19,499
2505,MADHYA PRADESH,NARSINGHPUR,19,531
2506,MADHYA PRADESH,NEEMUCH,19,540
2507,MADHYA PRADESH,PANNA,19,566
2508,MADHYA PRADESH,RAISEN,19,609
2509,MADHYA PRADESH,RAJGARH,19,611
2510,MADHYA PRADESH,RATLAM,19,625
2511,MADHYA PRADESH,REWA,19,629
2512,MADHYA PRADESH,SAGAR,19,639
2513,MADHYA PRADESH,SATNA,19,657
2514,MADHYA PRADESH,SEONI,19,663
2515,MADHYA PRADESH,SHAHDOL,19,665
2516,MADHYA PRADESH,SHAJAPUR,19,667
2517,MADHYA PRADESH,SHEOPUR,19,670
2518,MADHYA PRADESH,SHIVPURI,19,673
2519,MADHYA PRADESH,SIDHI,19,681
2520,MADHYA PRADESH,SIHORE,19,682
2521,MADHYA PRADESH,TIKAMGARH,19,746
2522,MADHYA PRADESH,UJJAIN,19,765
2523,MADHYA PRADESH,UMARIYA,19,767
2524,MADHYA PRADESH,VIDISHA,19,781
2526,MAHARASHTRA,AHMEDNAGAR,20,7
2527,MAHARASHTRA,AKOLA,20,11
2528,MAHARASHTRA,AMRAVATI COMMR.,20,22
2529,MAHARASHTRA,AMRAVATI RURAL,20,23
2530,MAHARASHTRA,AURANGABAD COMMR.,20,41
2531,MAHARASHTRA,AURANGABAD RURAL,20,42
2532,MAHARASHTRA,BEED,20,79
2533,MAHARASHTRA,BHANDARA,20,90
2534,MAHARASHTRA,BULDHANA,20,120
2535,MAHARASHTRA,CHANDRAPUR,20,141
2536,MAHARASHTRA,DHULE,20,207
2537,MAHARASHTRA,GADCHIROLI,20,246
2538,MAHARASHTRA,GONDIA,20,267
2539,MAHARASHTRA,HINGOLI,20,296
2540,MAHARASHTRA,JALGAON,20,332
2541,MAHARASHTRA,JALNA,20,333
2542,MAHARASHTRA,KOLHAPUR,20,421
2543,MAHARASHTRA,LATUR,20,455
2544,MAHARASHTRA,MUMBAI,20,503
2545,MAHARASHTRA,MUMBAI RLY.,20,505
2546,MAHARASHTRA,NAGPUR COMMR.,20,519
2547,MAHARASHTRA,NAGPUR RLY.,20,520
2548,MAHARASHTRA,NAGPUR RURAL,20,521
2549,MAHARASHTRA,NANDED,20,527
2550,MAHARASHTRA,NANDURBAR,20,528
2551,MAHARASHTRA,NASIK COMMR.,20,532
2552,MAHARASHTRA,NASIK RURAL,20,533
2553,MAHARASHTRA,NAVI MUMBAI,20,535
2554,MAHARASHTRA,OSMANABAD,20,554
2555,MAHARASHTRA,PARBHANI,20,568
2556,MAHARASHTRA,PUNE COMMR.,20,591
2557,MAHARASHTRA,PUNE RLY.,20,592
2558,MAHARASHTRA,PUNE RURAL,20,593
2559,MAHARASHTRA,RAIGAD,20,601
2560,MAHARASHTRA,RATNAGIRI,20,626
2561,MAHARASHTRA,SANGLI,20,649
2562,MAHARASHTRA,SATARA,20,656
2563,MAHARASHTRA,SINDHUDURG,20,687
2564,MAHARASHTRA,SOLAPUR COMMR.,20,698
2565,MAHARASHTRA,SOLAPUR RURAL,20,699
2566,MAHARASHTRA,THANE COMMR.,20,732
2567,MAHARASHTRA,THANE RURAL,20,733
2568,MAHARASHTRA,WARDHA,20,796
2569,MAHARASHTRA,WASHIM,20,797
2570,MAHARASHTRA,YAVATMAL,20,804
2572,MANIPUR,BISHNUPUR,21,109
2573,MANIPUR,CHANDEL,21,138
2574,MANIPUR,CHURACHANDPUR,21,156
2575,MANIPUR,IMPHAL(EAST),21,310
2576,MANIPUR,IMPHAL(WEST),21,311
2577,MANIPUR,SENAPATI,21,662
2578,MANIPUR,TAMENGLONG,21,727
2579,MANIPUR,THOUBAL,21,742
2580,MANIPUR,UKHRUL,21,766
2582,MEGHALAYA,GARO HILLS EAST,22,254
2583,MEGHALAYA,GARO HILLS SOUTH,22,255
2584,MEGHALAYA,GARO HILLS WEST,22,256
2585,MEGHALAYA,JAINTIA HILLS,22,320
2586,MEGHALAYA,KHASI HILLS EAST,22,404
2587,MEGHALAYA,KHASI HILLS WEST,22,405
2588,MEGHALAYA,RI-BHOI,22,631
2590,MIZORAM,AIZAWL,23,9
2591,MIZORAM,CHAMPHAI,23,137
2592,MIZORAM,KOLASIB,23,420
2593,MIZORAM,LAWNGTLAI,23,456
2594,MIZORAM,LUNGLEI,23,464
2595,MIZORAM,MAMIT,23,479
2596,MIZORAM,SAIHA,23,643
2597,MIZORAM,SERCHHIP,23,664
2599,NAGALAND,DIMAPUR,24,210
2600,NAGALAND,KIPHIRE,24,412
2601,NAGALAND,KOHIMA,24,417
2602,NAGALAND,MOKOKCHUNG,24,496
2603,NAGALAND,MON,24,497
2604,NAGALAND,PEREN,24,578
2605,NAGALAND,PHEK,24,579
2606,NAGALAND,TUENSANG,24,758
2607,NAGALAND,WOKHA,24,801
2608,NAGALAND,ZUNHEBOTO,24,805
2610,ODISHA,ANGUL,25,31
2611,ODISHA,BALASORE,25,54
2612,ODISHA,BARAGARH,25,67
2613,ODISHA,BERHAMPUR,25,84
2614,ODISHA,BHADRAK,25,88
2615,ODISHA,BOLANGIR,25,113
2616,ODISHA,BOUDH,25,117
2617,ODISHA,CUTTACK,25,173
2618,ODISHA,DEOGARH,25,191
2619,ODISHA,DHENKANAL,25,204
2620,ODISHA,GAJAPATI,25,247
2621,ODISHA,GANJAM,25,251
2622,ODISHA,JAGATSINGHPUR,25,317
2623,ODISHA,JAJPUR,25,328
2624,ODISHA,JHARSUGUDA,25,352
2625,ODISHA,KALAHANDI,25,366
2626,ODISHA,KANDHAMAL,25,371
2627,ODISHA,KENDRAPARA,25,396
2628,ODISHA,KEONJHAR,25,397
2629,ODISHA,KHURDA,25,410
2630,ODISHA,KORAPUT,25,428
2631,ODISHA,MALKANGIR,25,478
2632,ODISHA,MAYURBHANJ,25,488
2633,ODISHA,NAYAGARH,25,539
2634,ODISHA,NOWRANGPUR,25,552
2635,ODISHA,NUAPADA,25,553
2636,ODISHA,PURI,25,595
2637,ODISHA,RAYAGADA,25,627
2638,ODISHA,ROURKELA,25,635
2639,ODISHA,SAMBALPUR,25,648
2640,ODISHA,SONEPUR,25,701
2641,ODISHA,SRP(CUTTACK),25,713
2642,ODISHA,SRP(ROURKELA),25,714
2643,ODISHA,SUNDARGARH,25,721
2645,PUNJAB,AMRITSAR,27,25
2646,PUNJAB,BARNALA,27,72
2647,PUNJAB,BATALA,27,77
2648,PUNJAB,BHATINDA,27,93
2649,PUNJAB,FARIDKOT,27,229
2650,PUNJAB,FATEHGARH SAHIB,27,232
2651,PUNJAB,FEROZEPUR,27,235
2652,PUNJAB,G.R.P,27,238
2653,PUNJAB,GURDASPUR,27,279
2654,PUNJAB,HOSHIARPUR,27,300
2655,PUNJAB,JAGRAON,27,319
2656,PUNJAB,JALANDHAR,27,329
2657,PUNJAB,KAPURTHALA,27,380
2658,PUNJAB,KHANNA,27,401
2659,PUNJAB,LUDHIANA,27,462
2660,PUNJAB,MAJITHA,27,475
2661,PUNJAB,MANSA,27,485
2662,PUNJAB,MOGA,27,495
2663,PUNJAB,MUKTSAR,27,502
2664,PUNJAB,NAWAN SHAHR,27,538
2665,PUNJAB,PATIALA,27,573
2666,PUNJAB,ROPAR,27,634
2667,PUNJAB,SANGRUR,27,650
2668,PUNJAB,TARN TARAN,27,729
2670,RAJASTHAN,AJMER,28,10
2671,RAJASTHAN,ALWAR,28,17
2672,RAJASTHAN,BANSWARA,28,65
2673,RAJASTHAN,BARAN,28,69
2674,RAJASTHAN,BARMER,28,71
2675,RAJASTHAN,BHARATPUR,28,91
2676,RAJASTHAN,BHILWARA,28,95
2677,RAJASTHAN,BIKANER,28,106
2678,RAJASTHAN,BUNDI,28,121
2679,RAJASTHAN,CHITTORGARH,28,155
2680,RAJASTHAN,CHURU,28,157
2681,RAJASTHAN,DAUSA,28,186
2682,RAJASTHAN,DHOLPUR,28,205
2683,RAJASTHAN,DUNGARPUR,28,216
2684,RAJASTHAN,G.R.P.,28,239
2685,RAJASTHAN,GANGANAGAR,28,250
2686,RAJASTHAN,HANUMANGARH,28,287
2687,RAJASTHAN,JAIPUR,28,321
2688,RAJASTHAN,JAISALMER,28,327
2689,RAJASTHAN,JALORE,28,334
2690,RAJASTHAN,JHALAWAR,28,349
2691,RAJASTHAN,JHUNJHUNU,28,353
2692,RAJASTHAN,JODHPUR,28,355
2693,RAJASTHAN,KARAULI,28,382
2694,RAJASTHAN,KOTA,28,431
2695,RAJASTHAN,NAGAUR,28,518
2696,RAJASTHAN,PALI,28,560
2697,RAJASTHAN,RAJSAMAND,28,616
2698,RAJASTHAN,SAWAI MADHOPUR,28,658
2699,RAJASTHAN,SIKAR,28,683
2700,RAJASTHAN,SIROHI,28,691
2701,RAJASTHAN,TONK,28,751
2702,RAJASTHAN,UDAIPUR,28,760
2704,SIKKIM,EAST,29,218
2705,SIKKIM,NORTH,29,546
2706,SIKKIM,SOUTH,29,705
2707,SIKKIM,WEST,29,799
2709,TAMIL NADU,CHENGAI,30,144
2710,TAMIL NADU,CHENNAI,30,145
2711,TAMIL NADU,CHENNAI RLY.,30,146
2712,TAMIL NADU,COIMBATORE RURAL,30,160
2713,TAMIL NADU,COIMBATORE URBAN,30,161
2714,TAMIL NADU,CUDDALORE,30,171
2715,TAMIL NADU,DHARMAPURI,30,200
2716,TAMIL NADU,DINDIGUL,30,211
2717,TAMIL NADU,ERODE,30,224
2718,TAMIL NADU,KANCHIPURAM,30,370
2719,TAMIL NADU,KANYAKUMARI,30,379
2720,TAMIL NADU,KARUR,30,388
2721,TAMIL NADU,KRISHNAGIRI,30,439
2722,TAMIL NADU,MADURAI RURAL,30,467
2723,TAMIL NADU,MADURAI URBAN,30,468
2724,TAMIL NADU,NAGAPATTINAM,30,517
2725,TAMIL NADU,NAMAKKAL,30,526
2726,TAMIL NADU,NILGIRIS,30,544
2727,TAMIL NADU,PERAMBALUR,30,577
2728,TAMIL NADU,PUDUKOTTAI,30,589
2729,TAMIL NADU,RAMNATHAPURAM,30,621
2730,TAMIL NADU,SALEM RURAL,30,644
2731,TAMIL NADU,SALEM URBAN,30,645
2732,TAMIL NADU,SIVAGANGAI,30,695
2733,TAMIL NADU,THANJAVUR,30,734
2734,TAMIL NADU,THENI,30,735
2735,TAMIL NADU,THIRUNELVELI RURAL,30,736
2736,TAMIL NADU,THIRUNELVELI URBAN,30,737
2737,TAMIL NADU,THIRUVALLUR,30,738
2738,TAMIL NADU,THIRUVANNAMALAI,30,739
2739,TAMIL NADU,THIRUVARUR,30,740
2740,TAMIL NADU,THOOTHUGUDI,30,741
2741,TAMIL NADU,TRICHY RLY.,30,752
2742,TAMIL NADU,TRICHY RURAL,30,753
2743,TAMIL NADU,TRICHY URBAN,30,754
2744,TAMIL NADU,VELLORE,30,780
2745,TAMIL NADU,VILLUPURAM,30,785
2746,TAMIL NADU,VIRUDHUNAGAR,30,787
2748,TRIPURA,DHALAI,31,195
2749,TRIPURA,NORTH,31,546
2750,TRIPURA,SOUTH,31,705
2751,TRIPURA,WEST,31,799
2753,UTTAR PRADESH,AGRA,32,4
2754,UTTAR PRADESH,ALIGARH,32,13
2755,UTTAR PRADESH,ALLAHABAD,32,15
2756,UTTAR PRADESH,AMBEDKAR NAGAR,32,21
2757,UTTAR PRADESH,AURAIYA,32,39
2758,UTTAR PRADESH,AZAMGARH,32,44
2759,UTTAR PRADESH,BADAUN,32,45
2760,UTTAR PRADESH,BAGHPAT,32,50
2761,UTTAR PRADESH,BAHRAICH,32,51
2762,UTTAR PRADESH,BALLIA,32,55
2763,UTTAR PRADESH,BALRAMPUR,32,58
2764,UTTAR PRADESH,BANDA,32,59
2765,UTTAR PRADESH,BARABANKI,32,66
2766,UTTAR PRADESH,BAREILLY,32,70
2767,UTTAR PRADESH,BASTI,32,76
2768,UTTAR PRADESH,BIJNOR,32,105
2769,UTTAR PRADESH,BULANDSHAHAR,32,119
2770,UTTAR PRADESH,CHANDOLI,32,140
2771,UTTAR PRADESH,CHITRAKOOT DHAM,32,153
2772,UTTAR PRADESH,DEORIA,32,193
2773,UTTAR PRADESH,ETAH,32,225
2774,UTTAR PRADESH,ETAWAH,32,226
2775,UTTAR PRADESH,FAIZABAD,32,227
2776,UTTAR PRADESH,FATEHGARH,32,231
2777,UTTAR PRADESH,FATEHPUR,32,233
2778,UTTAR PRADESH,FIROZABAD,32,237
2779,UTTAR PRADESH,G.R.P.,32,239
2780,UTTAR PRADESH,GAUTAMBUDH NAGAR,32,257
2781,UTTAR PRADESH,GHAZIABAD,32,259
2782,UTTAR PRADESH,GHAZIPUR,32,260
2783,UTTAR PRADESH,GONDA,32,266
2784,UTTAR PRADESH,GORAKHPUR,32,269
2785,UTTAR PRADESH,HAMIRPUR,32,284
2786,UTTAR PRADESH,HARDOI,32,289
2787,UTTAR PRADESH,HATHRAS,32,292
2788,UTTAR PRADESH,J.P.NAGAR,32,314
2789,UTTAR PRADESH,JALAUN,32,331
2790,UTTAR PRADESH,JAUNPUR,32,345
2791,UTTAR PRADESH,JHANSI,32,350
2792,UTTAR PRADESH,KANNAUJ,32,374
2793,UTTAR PRADESH,KANPUR DEHAT,32,376
2794,UTTAR PRADESH,KANPUR NAGAR,32,377
2795,UTTAR PRADESH,KAUSHAMBI,32,394
2796,UTTAR PRADESH,KHIRI,32,407
2797,UTTAR PRADESH,KUSHI NAGAR,32,445
2798,UTTAR PRADESH,LALITPUR,32,453
2799,UTTAR PRADESH,LUCKNOW,32,461
2800,UTTAR PRADESH,MAHARAJGANJ,32,470
2801,UTTAR PRADESH,MAHOBA,32,473
2802,UTTAR PRADESH,MAINPURI,32,474
2803,UTTAR PRADESH,MATHURA,32,486
2804,UTTAR PRADESH,MAU,32,487
2805,UTTAR PRADESH,MEERUT,32,490
2806,UTTAR PRADESH,MIRZAPUR,32,494
2807,UTTAR PRADESH,MORADABAD,32,498
2808,UTTAR PRADESH,MUZAFFARNAGAR,32,509
2809,UTTAR PRADESH,PILIBHIT,32,580
2810,UTTAR PRADESH,PRATAPGARH,32,587
2811,UTTAR PRADESH,RAIBAREILLY,32,599
2812,UTTAR PRADESH,RAMPUR,32,622
2813,UTTAR PRADESH,SAHARANPUR,32,640
2814,UTTAR PRADESH,SANT KABIRNAGAR,32,651
